#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, April 1, 2020","Thursday, April 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1474,62.52,170.2,61.12
Breakfast,61,2.71,5.91,3.38
Lunch,442,19.59,48.33,18.26
Dinner,795,29.67,100.19,33.08
Snacks/Other,176,10.55,15.77,6.4

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Wednesday, April 1, 2020",1290,58.41,20.925,156.12,14.6,12.45,37.5,2293,74,929
 Breakfast,,,,,,,,,,
 Lunch,593,28.63,16.543,61.38,2.9,5.44,21.7,1128,74,171
  Bread,319,3.95,0.86,60.73,2.9,5.17,9.17,817,0,120
   120 g
  Cheddar Cheese,202,16.57,10.546,0.64,0,0.26,12.45,310,52,49
   50 g
  Butter,72,8.11,5.137,0.01,0,0.01,0.08,1,22,2
"   2 pats (1"" sq, 1/3"" high)"
 Dinner,232,13.92,1.789,26.11,5.4,3.86,2.21,146,0,460
  Roasted Potato,142,6.67,0.857,19.11,2.4,0.86,2.21,96,0,460
   3/4 cup
  Green Giant Roasted Veggies Carrots,30,0.5,0,7,3,3,0,50,0,
"   3/4 cup, 85 g"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
 Snacks/Other,465,15.86,2.593,68.63,6.3,3.15,13.59,1019,0,298
  Bread,90,1.12,0.244,17.21,0.8,1.47,2.6,232,0,34
   34 g
  Brown Rice,215,1.74,0.349,44.42,3.5,0.68,4.99,587,0,84
   1 cup cooked
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"

"Thursday, April 2, 2020",1577,82.79,22.469,169.07,13.67,29.3,48.28,2471,66,1702
 Breakfast,,,,,,,,,,
 Lunch,755,34.81,7.278,93.19,7.27,13.79,23.63,849,14,789
