#-------------------------------------------
# Food Diary Report - Detailed Report,"Saturday, February 1, 2020","Saturday, February 29, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1539,36.33,126.02,56.64
Breakfast,274,11.21,30.17,13.7
Lunch,251,7.94,24.9,14.18
Dinner,631,15.52,54.25,25.41
Snacks/Other,382,1.66,16.69,3.35

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Saturday, February 1, 2020",1507,30.76,12.179,128.4,10.7,22.4,38.52,1775,92,1028
 Breakfast,560,18.81,7.646,74.46,6.7,4.77,22.47,1152,72,332
"  Bacon (Cured, Pan-Fried, Cooked)",42,3.18,1.05,0.12,0,0,3.03,192,9,47
   1 slice cooked
  Scone,127,5.33,1.691,16.37,0.5,1.22,3.28,238,42,42
   36 g
  Cheddar Cheese,81,6.63,4.218,0.26,0,0.1,4.98,124,21,20
   20 g
  Pasta with Vegetables,310,3.67,0.687,57.71,6.2,3.45,11.18,598,0,223
   1 cup
 Lunch,302,10.9,4.304,37.52,3.2,16.25,13.61,403,20,660
  Cherry Tomatoes,13,0.15,0.034,2.92,0.9,1.96,0.66,4,0,
   1/2 cup
  Hummus,60,2.92,0.382,6.84,1.4,0.16,1.65,82,0,59
   34 g
  Flour Tortilla,94,2.32,0.566,15.4,0.9,0.58,2.49,191,0,46
   1 small (approx 6" dia)
  Latte Coffee,135,5.51,3.322,12.36,0,13.55,8.81,126,20,555
   1 medium
 Dinner,,,,,,,,,,
 Snacks/Other,645,1.05,0.229,16.42,0.8,1.38,2.44,220,0,36
  Whiskey,560,0,0,0.22,0,0,0,2,0,4
   8 fl oz (no ice)
  Bread,85,1.05,0.229,16.2,0.8,1.38,2.44,218,0,32
   32 g

"Sunday, February 2, 2020",1785,30.12,10.114,159.05,16.74,11.35,57.54,2438.16,513,764
 Breakfast,182,7.49,2.358,22.92,0.7,1.7,5.12,339,58,281
  Scone,177,7.4,2.349,22.73,0.7,1.7,4.55,330,58,58
   50 g
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
 Lunch,774,7.3,0.755,92.13,9.04,3.02,33.04,1271.16,117,372
  White Bread,186,2.3,0.502,35.43,1.7,3.02,5.35,477,0,70
   70 g
  Fig Food Co. Tuscan White Bean Soup,184,3.67,0,29.38,7.34,0,8.57,416.16,0,
   300 g
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz
  Shrimp,82,1.33,0.253,0.7,0,0,15.67,348,117,100
"   4 oz, with shell raw (yield after cooking, shell removed)"
 Dinner,309,14.83,7.001,4.53,0,0.63,12.07,168,338,111
  Egg,110,7.46,2.324,0.58,0,0.58,9.44,105,317,100
   1 1/2 large
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
  Cheddar Cheese,40,3.31,2.109,0.13,0,0.05,2.49,62,10,10
   10 g
  Cabernet Sauvignon Wine,123,0,,3.82,,,0.1,,,
   1 5 fl oz serving
 Snacks/Other,520,0.5,0,39.47,7,6,7.31,660,0,
  Cabernet Sauvignon Wine,370,0,,11.47,,,0.31,,,
   3 5 fl oz servings
  Alessi Traditional Tuscan White Bean Soup,150,0.5,0,28,7,6,7,660,0,
"   1 cup prepared, 42 g"

"Monday, February 3, 2020",1391,12.53,3.46,182.8,13.7,51.59,38.25,638,218,2130
 Breakfast,297,5.96,1.669,51.96,1,42.04,9.76,75,212,1059
  Orange Juice,223,0.99,0.119,51.58,1,41.66,3.47,5,0,992
   2 cups
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
 Lunch,322,0,0,26.62,0,0,3.45,30,0,202
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz
 Dinner,450,6.57,1.791,77.6,12.7,9.55,21.59,503,6,667
