#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, January 1, 2020","Friday, January 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1590,47.57,119.59,58.69
Breakfast,186,7.67,19.32,9.76
Lunch,365,17.34,26.72,16.17
Dinner,779,18.96,59.52,29.23
Snacks/Other,261,3.59,14.03,3.53

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Tuesday, January 7, 2020",331,7.06,4.185,55.39,2,9.03,10.09,433,16,17
 Breakfast,331,7.06,4.185,55.39,2,9.03,10.09,433,16,17
  Thomas' Blueberry Bagel,280,2,1,55,2,9,9,390,,
"   1 bagel, 95 g"
  Cream Cheese ,51,5.06,3.185,0.39,0,0.03,1.09,43,16,17
   1 tbsp
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Thursday, January 9, 2020",1633,36.1,11.117,131.06,6.9,15.4,77.14,1842,264,1758
 Breakfast,9,0.19,0.019,0.38,0,0,1.14,19,0,446
  Coffee,9,0.19,0.019,0.38,0,0,1.14,19,0,446
   4 mugs (8 fl oz)
 Lunch,,,,,,,,,,
 Dinner,1478,27.98,6.547,119.65,6.9,2.57,68.14,1725,240,963
  Hummus,218,10.57,1.381,24.75,4.9,0.57,5.98,298,0,213
   1/2 cup
  Mission 8" Flour Soft Taco (10 ct),280,7,3,48,2,2,8,840,0,0
"   2  x 1 tortilla, 98 g"
  Salmon,207,8.41,1.786,0,0,0,30.65,65,64,600
   5 oz boneless
  Shrimp,123,2,0.38,1.06,0,0,23.51,522,176,150
"   6 oz, with shell raw (yield after cooking, shell removed)"
  Foster's Foster's Lager,650,0,,45.84,,,0,,,
   50 oz
 Snacks/Other,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup

"Friday, January 10, 2020",1239,29.05,4.806,78.96,13.3,9.53,45.52,1543,52,1827
 Breakfast,345,11.18,1.668,37.14,9.6,4.62,23.64,383,26,569
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
  Hummus,109,5.28,0.691,12.37,2.5,0.28,2.99,149,0,106
   1/4 cup
