#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, July 1, 2020","Friday, July 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1706,50.37,219.07,75.06
Breakfast,317,11.04,44.1,12.06
Lunch,350,9.14,49.63,15.31
Dinner,682,21.42,82.02,32.71
Snacks/Other,356,8.77,43.32,14.98

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Wednesday, July 1, 2020",1699,30.49,6.787,303.58,23.4,76.68,54.07,2789,14,1738
 Breakfast,407,15.14,2.514,65.28,6,44,6.85,130,0,917
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
  Sunsweet Dried Pitted Prunes,100,0,0,24,3,13,1,6,0,283
"   5 prunes, 40 g"
  Dole Pineapple Chunks in 100% Pineapple Juice,140,0,0,32,2,30,0,0,0,300
"   2  x 1/2 cup, 244 g"
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"
 Lunch,1041,13.87,3.993,189.22,14.5,31.79,38,2287,14,749
  Bertolli Marinara Sauce,160,4,0,26,2,24,4,1060,0,
"   2  x 1/2 cup, 252 g"
  Penne,754,4.44,0.84,147.24,8.6,2.67,27.67,1117,0,215
"   6 oz, dry, yields"
  Broccoli,48,0.52,0.055,9.41,3.7,2.41,4,47,0,448
   5 oz
  Bechamel Sauce,79,4.91,3.098,6.57,0.2,2.71,2.33,63,14,86
   4 tbsps
 Dinner,251,1.48,0.28,49.08,2.9,0.89,9.22,372,0,72
  Penne,251,1.48,0.28,49.08,2.9,0.89,9.22,372,0,72
"   2 oz, dry, yields"
 Snacks/Other,,,,,,,,,,

"Thursday, July 2, 2020",1392,29.4,12.741,234.71,48.2,43.53,54.31,3432,57,1312
 Breakfast,577,24.66,12.392,76.29,8.7,36.85,13.32,625,57,1228
  Bechamel Sauce,317,19.66,12.392,26.29,0.7,10.85,9.32,253,57,342
   16 tbsps
  Sunsweet Dried Pitted Prunes,200,0,0,48,6,26,2,12,0,566
"   2  x 5 prunes, 80 g"
  Blue Diamond Almond Breeze Unsweetened Vanilla Milk,60,5,0,2,2,0,2,360,0,320
"   2  x 1 cup, 480 ml"
 Lunch,,,,,,,,,,
 Dinner,615,3.74,0.349,120.42,27.5,4.68,28.99,2067,0,84
  Trader Joe's Cuban Style Black Beans,400,2,0,76,24,4,24,1480,0,
"   4  x 1/2 cup, 488 g"
  Brown Rice,215,1.74,0.349,44.42,3.5,0.68,4.99,587,0,84
   1 cup cooked
 Snacks/Other,200,1,0,38,12,2,12,740,0,
  Trader Joe's Cuban Style Black Beans,200,1,0,38,12,2,12,740,0,
"   2  x 1/2 cup, 244 g"

"Friday, July 3, 2020",1502,25.83,11.289,265.89,21.7,89.66,45.49,1049,53,1265
 Breakfast,595,17.46,10.475,94.68,8.9,71.32,17.99,286,53,1223
  Sunsweet Dried Pitted Prunes,200,0,0,48,6,26,2,12,0,566
"   2  x 5 prunes, 80 g"
  Cheddar Cheese,113,9.28,5.906,0.36,0,0.15,6.97,174,29,27
   1 slice (1 oz)
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
"  Pineapple (Drained, Juice Pack, Canned)",136,0.25,0.018,35.29,2.9,32.34,1.16,2,0,281
   8 oz
 Lunch,157,5.37,0.814,24.21,2.8,0.34,2.5,693,0,42
  Brown Rice,107,0.87,0.175,22.21,1.8,0.34,2.5,293,0,42
   1/2 cup cooked
  Old El Paso Pickled Jalapeno Slices,10,0,0,2,1,0,0,400,0,
"   2 tbsp, 31 g"
  Sesame Oil,40,4.5,0.639,0,0,0,0,0,0,0
   1 tsp
 Dinner,750,3,0,147,10,18,25,70,0,0
  Trader Joe's Marinara Sauce,120,0,,24,4,12,4,70,0,
"   2  x 1/2 cup, 250 g"
  Kroger Fettuccini Noodles,630,3,0,123,6,6,21,0,0,0
"   3  x 2 oz, 168 g"
 Snacks/Other,,,,,,,,,,

"Monday, July 6, 2020",1082,28.25,10.481,159.84,33.5,22.25,47.2,3601,251,1138
 Breakfast,14,0.28,0.028,0.57,0,0,1.71,28,0,668
  Coffee,14,0.28,0.028,0.57,0,0,1.71,28,0,668
   6 mugs (8 fl oz)
 Lunch,579,14.71,2.649,88.8,18.5,3.06,23.28,2597,212,151
  Brown Rice,215,1.74,0.349,44.42,3.5,0.68,4.99,587,0,84
   1 cup cooked
  Trader Joe's Cuban Style Black Beans,200,1,0,38,12,2,12,740,0,
"   2  x 1/2 cup, 244 g"
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2  x 1 tbsp, 7.5 ml"
  Old El Paso Pickled Jalapeno Slices,30,0,0,6,3,0,0,1200,0,
"   3  x 2 tbsp, 93 g"
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
 Dinner,240,1,0,46,12,6,12,740,0,
  Trader Joe's Cuban Style Black Beans,200,1,0,38,12,2,12,740,0,
"   2  x 1/2 cup, 244 g"
  Lee Kum Kee Sriracha Chili Sauce,40,0,0,8,0,4,0,,,
"   4  x 1 tsp, 28 g"
