#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, June 1, 2020","Tuesday, June 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1693,61.22,183.34,70.37
Breakfast,230,9.98,28.9,7.84
Lunch,321,11.34,32.16,13.84
Dinner,912,30.05,99.78,40.88
Snacks/Other,230,9.86,22.5,7.82

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Monday, June 1, 2020",3104,78.72,39.44,310,10.07,120.74,97.76,3266.18,195,4473
 Breakfast,5,0.09,0.009,0.19,0,0,0.57,9,0,223
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
 Lunch,145,4.93,0.79,17.93,2.57,0,6.57,292.18,0,
  La Tortilla Factory Hand Made Style White Corn Tortillas,90,1,,14,1,0,5,190,0,
"   1 tortilla, 41 g"
  Sabra Roasted Garlic Hummus,55,3.93,0.79,3.93,1.57,0,1.57,102.18,0,
   22 g
 Dinner,2954,73.7,38.641,291.88,7.5,120.74,90.62,2965,195,4250
  Bread,830,10.26,2.236,157.83,7.5,13.44,23.83,2124,0,312
   11 oz
  Whole Milk,1171,63.44,36.405,88.23,0,102.68,62.85,781,195,2791
   8 cups
  Red Table Wine,634,0,0,19.46,0,4.62,0.52,30,0,947
   750 ml
  Regular Beer,319,0,0,26.36,0,0,3.42,30,0,200
   25 fl oz
 Snacks/Other,,,,,,,,,,

"Tuesday, June 2, 2020",1442,42.98,6.27,205.22,16.91,19.39,43.43,1990.18,4,1048
 Breakfast,5,0.09,0.009,0.19,0,0,0.57,9,0,223
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
 Lunch,338,11.03,1.804,45.25,6.67,7.19,14.22,612.18,0,143
  Sabra Roasted Garlic Hummus,125,8.93,1.79,8.93,3.57,0,3.57,232.18,0,
   50 g
  La Tortilla Factory Hand Made Style White Corn Tortillas,180,2,,28,2,0,10,380,0,
"   2  x 1 tortilla, 82 g"
  Grapefruit,33,0.1,0.014,8.32,1.1,7.19,0.65,0,0,143
   103 g
 Dinner,835,21.86,2.707,141.48,9.8,10.7,25.64,1154,4,587
  Pasta Puttanesca with Linguini,835,21.86,2.707,141.48,9.8,10.7,25.64,1154,4,587
   1 1/2 servings
 Snacks/Other,264,10,1.75,18.3,0.44,1.5,3,215,0,95
  Makoto Ginger Salad Dressing,40,3.5,0.5,1,0,0.5,0.5,185,0,
"   1/2  x 2 tbsp, 15.5 g"
  Planters Lightly Salted Cashews Halves & Pieces,80,6.5,1.25,4.5,0.44,1,2.5,30,0,95
"   1/2  x 50 pieces, 14 g"
  Pabst Blue Ribbon,144,0,0,12.8,0,0,0,0,0,
"   1 can, 12 oz"

"Wednesday, June 3, 2020",1764,37.26,11.246,302.32,20.6,51.69,62.18,2447,40,1237
 Breakfast,631,15.5,2.007,108.67,7.3,8.36,19.26,962,2,419
  Pasta Puttanesca with Linguini,556,14.57,1.804,94.32,6.6,7.14,17.09,769,2,391
   1 serving
  Bread,75,0.93,0.203,14.35,0.7,1.22,2.17,193,0,28
   1 oz
 Lunch,703,14.13,8.218,106.67,8,5.7,32.8,1096,37,202
  One Pot Pasta with Ricotta and Lemon,703,14.13,8.218,106.67,8,5.7,32.8,1096,37,202
   1 serving
 Dinner,278,7.28,0.902,47.16,3.3,3.57,8.54,385,1,196
  Pasta Puttanesca with Linguini,278,7.28,0.902,47.16,3.3,3.57,8.54,385,1,196
   1/2 servings
 Snacks/Other,152,0.35,0.119,39.82,2,34.06,1.58,4,0,420
  Grapes,152,0.35,0.119,39.82,2,34.06,1.58,4,0,420
   220 g

"Thursday, June 4, 2020",1225,83.16,18.921,86.47,10.9,12,43.23,1201.16,100.68,847
 Breakfast,175,12.7,7.94,3.17,0,3.17,11.11,103.16,39.68,0
  Breakstone's Ricotta Cheese,175,12.7,7.94,3.17,0,3.17,11.11,103.16,39.68,0
   100 g
 Lunch,387,25.21,8.122,29.22,2.9,4.07,14.24,350,51,620
  Pasta with Mushrooms,387,25.21,8.122,29.22,2.9,4.07,14.24,350,51,620
   1 serving
 Dinner,416,23,,45,6,3,11,745,10,
  Heuvos Rotos,416,23,,45,6,3,11,745,10,
"   1 Serving, 4 Servings/Recipe"
 Snacks/Other,247,22.25,2.859,9.08,2,1.76,6.88,3,0,227
  Walnuts,131,13.04,1.225,2.74,1.3,0.52,3.05,0,0,88
   20 g
  Cashew Nuts,116,9.21,1.634,6.34,0.7,1.24,3.83,3,0,139
   21 g

"Friday, June 5, 2020",1621,53.19,14.134,116.96,9.9,29.79,35.15,1293.91,64.18,1390
 Breakfast,487,29.95,7.94,36.92,4.5,5.42,19.36,661.91,47.18,0
  Breakstone's Ricotta Cheese,175,12.7,7.94,3.17,0,3.17,11.11,103.16,39.68,0
   100 g
  Heuvos Rotos,312,17.25,,33.75,4.5,2.25,8.25,558.75,7.5,
"   3/4  x 1 Serving, 4 Servings/Recipe"
 Lunch,833,9.8,1.748,47.55,3.6,22.98,4.47,94,0,1264
  Red Table Wine,634,0,0,19.46,0,4.62,0.52,30,0,947
   750 ml
"  Grapes (Red or Green, European Type Varieties Such As Thompson Seedless)",28,0.07,0.022,7.42,0.4,6.35,0.3,1,0,78
   41 g
  Roasted Salted Cashew Nuts,116,9.55,1.696,6.03,0.7,1,3.37,62,0,126
   20 g
  Apples,55,0.18,0.03,14.64,2.5,11.01,0.28,1,0,113
   1 small (2-1/2" dia) (approx 4 per lb)
 Dinner,301,13.44,4.446,32.49,1.8,1.39,11.32,538,17,126
  Crackers,141,7.08,1.057,17.08,0.4,0.5,2.07,237,0,37
   28 g
  La Tortilla Factory Hand Made Style Yellow Corn Tortillas,90,1,0,14,1,0,5,200,0,
"   1 tortilla, 41 g"
  Cheddar Cheese,64,5.3,3.375,0.2,0,0.08,3.98,99,17,16
   16 g
  Tomatoes,6,0.06,0.014,1.21,0.4,0.81,0.27,2,0,73
   1/4 medium whole (2-3/5" dia)
 Snacks/Other,,,,,,,,,,

"Saturday, June 6, 2020",1579,54.16,12.889,221.16,30.4,44.42,64.09,2516,65,2078
 Breakfast,416,23,,45,6,3,11,745,10,
  Heuvos Rotos,416,23,,45,6,3,11,745,10,
"   1 Serving, 4 Servings/Recipe"
 Lunch,967,24.18,12.181,141.09,20.1,13.67,49.82,1768,55,1654
  One Pot Pasta with Ricotta and Lemon,703,14.13,8.218,106.67,8,5.7,32.8,1096,37,202
   1 serving
  Broccoli,154,1.68,0.177,30.12,11.8,7.71,12.79,150,0,1433
   16 oz
  Cheese Sauce,110,8.37,3.786,4.3,0.3,0.26,4.23,522,18,19
   1/4 cup
 Dinner,,,,,,,,,,
 Snacks/Other,196,6.98,0.708,35.07,4.3,27.75,3.27,3,0,424
"  Grapes (Red or Green, European Type Varieties Such As Thompson Seedless)",114,0.26,0.089,29.86,1.5,25.54,1.19,3,0,315
   165 g
  Blackberries,17,0.2,0.006,3.84,2.1,1.95,0.56,0,0,65
   40 g
  Walnuts,65,6.52,0.613,1.37,0.7,0.26,1.52,0,0,44
   10 g

"Sunday, June 7, 2020",1271,35.93,6.551,84.88,8,18.83,23.37,1233,44,349
 Breakfast,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
 Lunch,516,28,2,55,8,6,15,1135,20,
  Heuvos Rotos,416,23,,45,6,3,11,745,10,
"   1 Serving, 4 Servings/Recipe"
  Seabrook Creamed Spinach,100,5,2,10,2,3,4,390,10,
"   1/2 cup, 125 g"
 Dinner,609,0,,18.85,,,0.51,,,
  Cabernet Sauvignon Wine,609,0,,18.85,,,0.51,,,
