#-------------------------------------------
# Food Diary Report - Detailed Report,"Sunday, March 1, 2020","Tuesday, March 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1367,38.59,133.56,48.73
Breakfast,88,4.27,8.04,4.29
Lunch,443,14.64,47.53,19.78
Dinner,504,13.29,55.44,17.12
Snacks/Other,332,6.39,22.56,7.54

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Sunday, March 1, 2020",425,30.66,11.261,16.01,1.5,3.64,20.28,520.6,464.15,274
 Breakfast,425,30.66,11.261,16.01,1.5,3.64,20.28,520.6,464.15,274
  Jones All Natural Fully Cooked Sausage,168,16.08,5.36,0.67,0,0.67,4.69,254.6,30.15,
"   2/3  x 3 links, 40 g"
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  English Muffin,66,0.49,0.213,12.81,1,1.02,2.57,123,0,32
   1/2 muffin
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
  Tomatoes,8,0.09,0.021,1.76,0.5,1.18,0.4,2,0,107
   3 thin/small slices
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Tuesday, March 3, 2020",1557,36.44,5.271,119.12,23.3,28.92,22.36,783,5,2434
 Breakfast,,,,,,,,,,
 Lunch,436,8.26,1.351,76.27,13,5.18,15.03,645,5,534
"  Brown Rice (Long-Grain, Cooked)",216,1.76,0.351,44.77,3.5,0.68,5.03,10,0,84
   1 cup
  Great Value Garbanzo Beans,165,3,0,27,9,1.5,9,495,0,450
"   1 1/2  x 1/2 cup, 195 g"
  Asian Passage Tikka Masala Curry Sauce,55,3.5,1,4.5,0.5,3,1,140,5,
"   1/2  x 1 cup, 53 g"
 Dinner,421,28.18,3.92,42.57,10.3,23.74,7.33,135,0,1894
  Tomato Puree,129,0.71,0.099,30.55,6.5,16.43,5.61,95,0,1493
   12 oz
  Celery,3,0.03,0.009,0.59,0.3,0.37,0.14,16,0,52
   1/2 stalk medium (7-1/2" - 8" long)
  Red Onions,6,0.01,0.003,1.33,0.2,0.56,0.12,0,0,
   0.12 medium
  Carrots,13,0.07,0.011,2.92,0.9,1.38,0.28,21,0,98
   1/2 medium
  Sweet Red Peppers,31,0.36,0.07,7.18,2.4,5,1.18,2,0,251
"   1 medium (approx 2-3/4"" long, 2-1/2"" dia)"
  Olive Oil,239,27,3.728,0,0,0,0,1,0,0
   2 tbsps
 Snacks/Other,700,0,0,0.28,0,0,0,3,0,6
  Whiskey,700,0,0,0.28,0,0,0,3,0,6
   10 fl oz (no ice)

"Wednesday, March 4, 2020",2395,52.24,12.53,209.07,37.3,37.61,90.14,3395,12,2157
 Breakfast,,,,,,,,,,
 Lunch,436,8.26,1.351,76.27,13,5.18,15.03,645,5,534
"  Brown Rice (Long-Grain, Cooked)",216,1.76,0.351,44.77,3.5,0.68,5.03,10,0,84
   1 cup
  Great Value Garbanzo Beans,165,3,0,27,9,1.5,9,495,0,450
"   1 1/2  x 1/2 cup, 195 g"
  Asian Passage Tikka Masala Curry Sauce,55,3.5,1,4.5,0.5,3,1,140,5,
"   1/2  x 1 cup, 53 g"
 Dinner,702,14,4,62.62,11,9,32.45,1217,0,202
  Shrimp and White Beans with Fennel and Pancetta,380,14,4,36,11,9,29,1187,0,
"   1 Serving, 4 Servings/Recipe"
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz
 Snacks/Other,1257,29.98,7.179,70.18,13.3,23.43,42.66,1533,7,1421
  Red Table Wine,634,0,0,19.46,0,4.62,0.52,30,0,947
   750 ml
  Shrimp and White Beans with Fennel and Pancetta,380,14,4,36,11,9,29,1187,0,
"   1 Serving, 4 Servings/Recipe"
