#-------------------------------------------
# Food Diary Report - Detailed Report,"Tuesday, September 1, 2020","Wednesday, September 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1524,48.54,136.25,55.65
Breakfast,154,7.89,11.32,9.36
Lunch,365,10.35,35.45,14.34
Dinner,664,21.19,69.12,22.44
Snacks/Other,341,9.11,20.37,9.51

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Tuesday, September 1, 2020",2983,42.91,20.641,253.57,8.2,68.47,61.18,2753,98,2445
 Breakfast,,,,,,,,,,
 Lunch,1154,0,0,26.89,0,0,3.48,30,0,204
  Jameson Irish Whiskey,828,0,0,0,0,0,0,0,0,
"   12 x 1 shot, 12 oz"
  Regular Beer,326,0,0,26.89,0,0,3.48,30,0,204
   25 1/2 fl oz
 Dinner,1829,42.91,20.641,226.68,8.2,68.47,57.7,2723,98,2241
  Red Table Wine,338,0,0,10.38,0,2.47,0.28,16,0,505
   400 ml
  Whole Milk,586,31.72,18.202,44.12,0,51.34,31.43,390,98,1396
   32 fl oz
  Bread,905,11.19,2.439,172.18,8.2,14.66,25.99,2317,0,340
   12 oz
 Snacks/Other,,,,,,,,,,

"Wednesday, September 2, 2020",1531,62.63,17.996,152.56,18.4,12.33,68.93,2357,307,2332
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,749,22.5,3.673,72.91,8.7,8.41,42.45,1142,65,1323
  Guacamole,137,12.5,1.813,7.44,5.8,0.62,1.71,129,0,416
   6 tbsps
  Bread,302,3.73,0.813,57.39,2.7,4.89,8.66,772,0,113
   4 oz
  Tuna,146,1.28,0.317,0,0,0,31.56,50,61,599
   135 g
  Sriracha Sauce,5,0.01,0.001,1.14,0,1.03,0.05,78,0,8
   1 tsp
  Mayonnaise,57,4.91,0.72,3.51,0,0.94,0.13,105,4,1
   1 tbsp
  Arugula Lettuce,2,0.07,0.009,0.36,0.2,0.2,0.26,3,0,37
   1/2 cup
  Red Table Wine,100,0,0,3.07,0,0.73,0.08,5,0,149
   4 fl oz
 Dinner,469,27.61,8.179,43.14,7.5,2.29,13.72,635,227,558
   Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
   Butter ,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
   Flour Tortillas ,218,5.42,1.32,35.94,2.2,1.34,5.8,445,0,108
   1 tortilla (approx 10" dia)
  Guacamole,126,11.46,1.662,6.82,5.3,0.57,1.57,119,0,381
   5 1/2 tbsps
 Snacks/Other,306,12.38,6.13,36.23,2.2,1.63,11.91,566,15,117
  Flour Tortillas,218,5.42,1.32,35.94,2.2,1.34,5.8,445,0,108
   1 tortilla (approx 10" dia)
  Goats Cheese (Soft),88,6.96,4.81,0.29,0,0.29,6.11,121,15,9
   33 g

"Thursday, September 3, 2020",1746,55.53,13.541,112.15,9.4,12.02,60.72,1786,46,2242
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,385,17.54,6.948,44.38,4.5,2.93,13.66,582,16,271
  Flour Tortilla,218,5.42,1.32,35.94,2.2,1.34,5.8,445,0,108
   1 large (approx 10" dia)
  Trader Joe's Grapeseed Oil,40,4.62,0.5,0,,,0,0,0,
"   1/3 x 1 tbsp, 5 ml"
  Goats Cheese (Soft),94,7.38,5.101,0.31,0,0.31,6.48,129,16,9
   35 g
  Grape Tomatoes,9,0.09,0.022,1.86,0.6,1.25,0.42,2,0,112
   6 grape
  Spinach,2,0.03,0.005,0.27,0.2,0.03,0.21,6,0,42
   1/4 cup
  Publix Red Bell Pepper,22,0,0,6,1.5,0,0.75,0,0,
"   3/4 x 1 medium pepper, 111 g"
 Dinner,560,24.85,4.579,41.03,2.9,3.47,39.69,960,30,510
  Flour Tortillas,218,5.42,1.32,35.94,2.2,1.34,5.8,445,0,108
   1 tortilla (approx 10" dia)
  Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
  Hellmann's Real Mayonnaise,90,10,1.5,0,0,0,0,90,10,
"   1 tbsp, 13 g"
  Lee Kum Kee Sriracha Chili Sauce,20,0,0,4,0,2,0,,,
"   2 x 1 tsp, 14 g"
  Spinach,7,0.12,0.019,1.09,0.7,0.13,0.86,24,0,167
   1 cup
 Snacks/Other,794,13,2,26.46,2,5.62,6.52,230,0,1127
  Red Table Wine,634,0,0,19.46,0,4.62,0.52,30,0,947
   750 ml
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"

"Friday, September 4, 2020",2950,65.88,36.77,383.95,26.9,38.23,61.6,5314,9,3152
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,2678,56.24,32.535,347.83,24.7,36.71,52.1,4795,0,3039
  Red Curry Lentils with Sweet Potatoes and Spinach,1400,55.05,32.211,183.72,22.4,30.66,38.73,4749,0,2102
   3 servings
  Jasmine Rice,658,1.19,0.324,144.05,2.3,0.22,12.85,9,0,207
   1 cup dry
  Dry Table Wine,620,0,0,20.06,0,5.83,0.52,37,0,730
   25 fl oz (no ice)
 Snacks/Other,272,9.64,4.235,36.12,2.2,1.52,9.5,519,9,113
  Flour Tortilla,218,5.42,1.32,35.94,2.2,1.34,5.8,445,0,108
   1 large (approx 10" dia)
  Goats Cheese (Soft),54,4.22,2.915,0.18,0,0.18,3.7,74,9,5
   20 g

"Saturday, September 5, 2020",1740,35.7,14.327,105.01,9.84,40.19,31.76,1019.57,57,811.78
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,858,35.7,14.327,104.66,9.84,40.19,31.76,1015.57,57,804.78
  Baguette,233,2.55,0.545,44.14,2.6,0.2,7.48,518,0,96
   3 oz
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   8 fl oz
  Great Value Dry Roasted Peanuts,171,13.92,2.14,5.36,2.14,1.07,6.43,182.07,0,192.78
   30 g
  Colby Cheese,138,11.24,7.076,0.9,0,0.18,8.32,211,33,44
   35 g
  Trader Joe's Dried Apricots,130,0,0,32.5,3.9,19.5,1.3,6.5,,
   52 g
  Dried Prune,40,0.06,0.015,10.73,1.2,6.41,0.37,0,0,123
   2 prunes
 Snacks/Other,882,0,0,0.35,0,0,0,4,0,7
  Whiskey,882,0,0,0.35,0,0,0,4,0,7
   12.6 fl oz (no ice)

"Sunday, September 6, 2020",1391,45.95,11.371,190.12,14.84,76.52,61.05,2285.84,98.5,1695.56
 Breakfast,,,,,,,,,,
 Lunch,580,17.35,2.919,69.01,2.34,54.23,38.58,456.84,77,1093.56
  Salmon,248,10.09,2.143,0,0,0,36.78,78,77,720
   6 oz boneless
  Honey,192,0,0,51.91,0.1,51.74,0.19,3,0,33
   3 tbsps
  Del Monte Whole New Potatoes,63,0,0,14.62,1.04,1.04,1.04,375.84,0,250.56
   165 g
  Pompeian White Wine Vinegar,4,0,0,0,0,0,0,0,0,0
"   2 x 1 tbsp, 30 ml"
  Jalapeno Peppers,13,0.26,0.026,2.48,1.2,1.45,0.57,0,0,90
   3 peppers
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2 x 1 tbsp, 7.5 ml"
 Dinner,642,24.17,8.012,88.16,8.3,2.96,19.17,1000,14,225
  Flour Tortilla,437,10.85,2.64,71.89,4.3,2.69,11.61,890,0,217
   2 large (approx 10" dia)
  Goats Cheese (Soft),80,6.32,4.372,0.27,0,0.27,5.56,110,14,8
   30 g
  Publix Red Bell Pepper,60,0,0,16,4,0,2,0,0,
"   2 x 1 medium pepper, 296 g"
  Lee Kum Kee Chili Oil,65,7,1,0,0,0,0,0,,
"   1/2 x 1 tbsp, 7.5 ml"
 Snacks/Other,169,4.43,0.44,32.95,4.2,19.33,3.3,829,7.5,377
  Crown Prince Flat Anchovies in Olive Oil ,20,1.25,0,0,0,0,2,525,7.5,0
"   1/2 x 6 pieces , 7.5 g"
   Green Olives,28,2.99,0.396,0.75,0.6,0.11,0.2,303,0,8
   1/2 10 large serving
   Dried Prune,121,0.19,0.044,32.2,3.6,19.22,1.1,1,0,369
   6 prunes

"Monday, September 7, 2020",329,0,0,27.16,0,0,3.52,31,0,207
 Breakfast,,,,,,,,,,
 Lunch,329,0,0,27.16,0,0,3.52,31,0,207
   Beer,329,0,0,27.16,0,0,3.52,31,0,207
   25 1/2 fl oz
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Tuesday, September 8, 2020",1545,51.13,15.177,217.3,21.2,36.52,52.94,2491,56,1170
 Breakfast,,,,,,,,,,
