Date,Odometer,Gallons Gas,Cost in Dollars,Cost per Gallon,Incremental Miles/Gallon,Incremental Miles/Day
2017-10-20,"68,725",14.538,35.60,2.449,,
2017-11-06,"69,009",15.322,36.14,2.359,18.535,15.8
2017-11-21,"69,250",12.953,31.98,2.469,18.606,15.1
2017-11-24,"69,440",8.486,19.93,2.349,22.390,47.5
2017-12-07,"69,754",14.464,34.78,2.405,21.709,22.4
2017-12-23,"69,958",12.636,29.68,2.349,16.144,12.0
2017-12-24,"70,152",7.669,17.32,2.258,25.297,97.0
2017-12-25,"70,329",8.375,20.09,2.399,21.134,88.5
2017-12-30,"70,594",12.380,29.20,2.359,21.405,44.2
2017-12-31,"70,799",9.133,20.08,2.199,22.446,102.5
2018-01-04,"71,100",13.458,29.59,2.199,22.366,60.2
2018-01-04,"71,364",11.200,25.75,2.299,23.571,264.0
2018-01-10,"71,686",15.754,37.79,2.399,20.439,46.0
2018-02-02,"71,900",11.999,31.19,2.599,17.835,8.9
2018-02-18,"72,159",14.086,34.64,2.459,18.387,15.2
2018-03-07,"72,441",15.229,38.06,2.499,18.517,15.7
2018-03-17,"72,547",6.568,16.15,2.459,16.139,9.6
2018-03-18,"72,718",7.308,18.26,2.499,23.399,85.5
2018-04-02,"73,038",15.093,39.83,2.639,21.202,20.0
2018-04-15,"73,159",6.704,17.16,2.560,18.049,8.6
2018-05-11,"73,436",14.976,41.92,2.799,18.496,10.3
2018-05-14,"73,663",10.392,28.88,2.779,21.844,56.8
2018-05-28,"73,945",13.447,38.98,2.899,20.971,18.8
2018-06-01,"74,165",9.859,28.38,2.879,22.315,44.0
2018-06-16,"74,459",14.037,37.89,2.699,20.945,18.4
2018-06-17,"74,629",7.154,19.45,2.719,23.763,85.0
2018-07-01,"74,939",15.197,40.41,2.659,20.399,20.7
2018-07-04,"75,116",7.031,18.70,2.660,25.174,44.3
2018-07-06,"75,327",8.989,23.90,2.659,23.473,70.3
2018-07-09,"75,499",7.346,19.31,2.629,23.414,43.0
2018-07-11,"75,654",6.235,16.70,2.678,24.860,51.7
2018-07-15,"75,880",10.055,27.94,2.779,22.476,45.2
2018-07-31,"76,156",13.372,36.49,2.729,20.640,16.2
2018-08-09,"76,376",10.121,28.23,2.789,21.737,22.0
2018-08-22,"76,671",14.139,39.86,2.819,20.864,21.1
2018-08-30,"76,774",5.752,16.39,2.849,17.907,11.4
2018-09-03,"76,955",7.772,21.75,2.799,23.289,36.2
2018-09-04,"77,138",7.805,21.38,2.739,23.447,91.5
2018-09-04,"77,312",7.610,19.55,2.569,22.865,174.0
2018-09-07,"77,464",6.972,19.31,2.770,21.801,38.0
2018-09-07,"77,740",12.743,35.41,2.779,21.659,276.0
2018-09-23,"77,997",13.762,37.56,2.729,18.675,15.1
2018-10-10,"78,200",11.118,31.12,2.799,18.259,11.3
2018-10-14,"78,384",7.998,21.91,2.739,23.006,36.8
2018-10-30,"78,709",15.283,41.25,2.699,21.265,19.1
2018-11-24,"78,922",11.792,29.47,2.499,18.063,8.2
2018-12-10,"79,132",10.897,24.18,2.219,19.271,12.4
2018-12-14,"79,262",6.046,17.29,2.860,21.502,26.0
2018-12-16,"79,523",11.895,26.63,2.239,21.942,87.0
2018-12-16,"79,699",7.3148,15.57,2.129,24.061,176.0
2018-12-20,"79,884",8.194,17.85,2.178,22.577,37.0
2019-01-16,"80,043",8.897,17.97,2.020,17.871,5.7
2019-01-21,"80,235",8.254,16.83,2.039,23.261,32.0
2019-02-01,"80,512",13.174,30.68,2.329,21.026,23.1
2019-02-10,"80,773",11.279,24.80,2.199,23.140,26.1
2019-02-16,"80,906",8.119,17.85,2.199,16.381,19.0
2019-02-19,"81,109",8.812,20.26,2.299,23.037,50.8
2019-02-21,"81,264",4.35,10.00,2.299,35.632,51.7
2019-03-15,"81,520",15.522,40.65,2.619,16.493,11.1
2019-03-29,"81,712",9.420,26.55,2.818,20.382,12.8
2019-04-09,"81,880",8.469,24.04,2.839,19.837,14.0
2019-04-13,"82,116",10.27,28.33,2.759,22.980,47.2
2019-05-10,"82,432",15.381,43.59,2.834,20.545,11.3
2019-05-14,"82,666",10.785,28.46,2.639,21.697,46.8
2019-05-14,"82,837",7.329,18.79,2.563,23.332,171.0
2019-05-15,"83,071",10.017,23.63,2.359,23.360,117.0
2019-05-19,"83,372",12.208,30.26,2.479,24.656,60.2
2019-05-22,"83,689",13.4046,36.18,2.699,23.649,79.3
2019-05-22,"83,913",8.517,21.80,2.560,26.300,224.0
2019-06-09,"84,194",14.082,34.49,2.449,19.955,14.8
2019-06-17,"84,418",10.032,24.97,2.489,22.329,24.9
2019-07-01,"84,756",15.634,39.85,2.549,21.620,22.5
2019-07-24,"85,042",15.597,40.85,2.619,18.337,11.9
2019-08-15,"85,324",14.925,37.30,2.499,18.894,12.3
2019-08-30,"85,435",6.797,18.35,2.699,16.331,6.9
2019-09-01,"85,604",7.620,18.28,2.399,22.178,56.3
2019-09-15,"85,723",5.755,13.81,2.400,20.678,7.9
2019-10-03,"86,056",15.546,38.23,2.459,21.420,17.5
2019-10-13,"86,314",12.241,29.37,2.399,21.077,23.5
2019-10-21,"86,526",9.928,24.81,2.499,21.354,23.6
2019-11-04,"86,806",12.365,30.16,2.439,22.645,18.7
2019-11-19,"87,085",13.014,30.70,2.359,21.438,17.4
2019-11-24,"87,334",11.653,26.09,2.239,21.368,41.5
2019-12-01,"87,555",9.921,23.80,2.399,22.276,27.6
2019-12-15,"87,683",6.173,15.73,2.548,20.735,8.5
2019-12-27,"87,795",6.193,15.28,2.467,18.085,8.6
2020-01-03,"88,015",9.31,24.20,2.599,23.631,27.5
2020-01-16,"88,313",13.898,35.01,2.519,21.442,21.3
2020-01-27,"88,509",8.943,20.92,2.339,21.917,16.3
2020-02-05,"88,632",5.511,13.22,2.399,22.319,12.3
2020-02-06,"88,774",6.442,15.20,2.360,22.043,71.0
2020-02-28,"88,983",11.828,28.73,2.429,17.670,9.1
2020-03-02,"89,177",8.051,17.87,2.220,24.096,48.5
2020-03-05,"89,341",7.261,15.97,2.199,22.586,41.0
2020-03-09,"89,554",9.683,22.26,2.299,21.997,42.6
2020-03-22,"89,752",7.504,16.13,2.150,26.386,14.1
2020-04-05,"89,949",7.504,16.13,2.150,26.253,14.1
2020-05-13,"90,247",14.533,28.47,1.959,20.505,7.6
2020-05-28,"90,404",7.278,13.81,1.897,21.572,9.8
2020-06-17,"90,561",7.159,14.31,1.999,21.930,7.5
2020-07-11,"90,825",11.413,24.65,2.160,23.132,10.6
2020-08-18,"91,079",12.444,26.12,2.099,20.411,6.5
2020-08-28,"91,263",8.7968,18.73,2.129,20.917,16.7
2020-09-23,"91,588",14.681,29.35,1.999,22.137,12.0
2020-10-11,"91,766",9.153,18.85,2.059,19.447,9.4
2020-10-22,"91,887",5.926,11.85,2.000,20.418,10.1
2020-11-03,"91,976",4.253,8.50,1.999,20.926,6.8
2020-12-06,"92,265",14.203,30.66,2.159,20.348,8.5
2020-12-31,"92,418",7.961,17.35,2.179,19.219,5.9
2021-01-26,"92,663",12.799,30.58,2.389,19.142,9.1
2021-02-13,"92,833",8.695,20.51,2.359,19.551,8.9
2021-03-11,"93,113",14.386,41.13,2.859,19.463,10.4
2021-04-03,"93,336",11.414,31.61,2.769,19.537,9.3
2021-04-25,"93,519",9.133,24.74,2.709,20.037,8.0
2021-05-12,"93,768",11.073,31.33,2.829,22.487,13.8
