date,start,finish,state
"2020-02-29",12900,12930,"wake"
"2020-02-29",12930,13230,"light"
"2020-02-29",13230,13770,"wake"
"2020-02-29",13770,15180,"light"
"2020-02-29",15180,15900,"wake"
"2020-02-29",15900,16500,"light"
"2020-02-29",16500,17670,"wake"
"2020-02-29",17670,18990,"light"
"2020-02-29",18990,19800,"wake"
"2020-02-29",19800,20790,"light"
"2020-02-29",20790,21090,"deep"
"2020-02-29",21090,22320,"light"
"2020-02-29",22320,22890,"rem"
"2020-02-29",22890,22920,"light"
"2020-02-29",22920,23400,"deep"
"2020-02-29",23400,25380,"light"
"2020-02-29",25380,25680,"deep"
"2020-02-29",25680,27300,"light"
"2020-02-29",27300,29640,"rem"
"2020-02-29",29640,30510,"light"
"2020-02-29",30510,30810,"wake"
"2020-02-29",30810,31410,"light"
"2020-02-29",31410,31860,"rem"
"2020-02-29",77970,78000,"wake"
"2020-02-29",77970,78000,"wake"
"2020-02-29",78000,78360,"light"
"2020-02-29",78000,78360,"light"
"2020-02-29",78360,78990,"wake"
"2020-02-29",78360,78990,"wake"
"2020-02-29",78990,79590,"light"
"2020-02-29",78990,79590,"light"
"2020-02-29",79590,81600,"deep"
"2020-02-29",79590,81600,"deep"
"2020-02-29",81600,81810,"wake"
"2020-02-29",81600,81810,"wake"
"2020-02-29",81810,83880,"light"
"2020-02-29",81810,83880,"light"
"2020-02-29",83880,85410,"deep"
"2020-02-29",83880,85410,"deep"
"2020-02-29",85410,86100,"wake"
"2020-02-29",85410,86100,"wake"
"2020-02-29",86100,86160,"light"
"2020-02-29",86100,86160,"light"
"2020-02-29",86160,86400,"deep"
"2020-02-29",86160,86400,"deep"
"2020-03-01",0,1800,"deep"
"2020-03-01",0,1800,"deep"
"2020-03-01",1800,2730,"light"
"2020-03-01",1800,2730,"light"
"2020-03-01",2730,3720,"deep"
"2020-03-01",2730,3720,"deep"
"2020-03-01",3720,4140,"light"
"2020-03-01",3720,4140,"light"
"2020-03-01",4140,4590,"deep"
"2020-03-01",4140,4590,"deep"
"2020-03-01",4590,7920,"light"
"2020-03-01",4590,7920,"light"
"2020-03-01",7920,8730,"deep"
"2020-03-01",7920,8730,"deep"
"2020-03-01",8730,9720,"light"
"2020-03-01",8730,9720,"light"
"2020-03-01",9720,9990,"rem"
"2020-03-01",9720,9990,"rem"
"2020-03-01",9990,11700,"light"
"2020-03-01",9990,11700,"light"
"2020-03-01",11700,11970,"rem"
"2020-03-01",11700,11970,"rem"
"2020-03-01",11970,13620,"light"
"2020-03-01",11970,13620,"light"
"2020-03-01",13620,13980,"rem"
"2020-03-01",13620,13980,"rem"
"2020-03-01",13980,14580,"light"
"2020-03-01",13980,14580,"light"
"2020-03-01",14580,15630,"rem"
"2020-03-01",14580,15630,"rem"
"2020-03-01",15630,16170,"light"
"2020-03-01",15630,16170,"light"
"2020-03-01",16170,16620,"rem"
"2020-03-01",16170,16620,"rem"
"2020-03-01",16620,17850,"light"
"2020-03-01",16620,17850,"light"
"2020-03-01",17850,21750,"rem"
"2020-03-01",17850,21750,"rem"
"2020-03-01",21750,22110,"light"
"2020-03-01",21750,22110,"light"
"2020-03-01",22110,24990,"rem"
"2020-03-01",22110,24990,"rem"
"2020-03-01",24990,25380,"wake"
"2020-03-01",24990,25380,"wake"
"2020-03-01",25380,26580,"light"
"2020-03-01",25380,26580,"light"
"2020-03-01",26580,27090,"wake"
"2020-03-01",26580,27090,"wake"
"2020-03-01",27090,28470,"rem"
"2020-03-01",27090,28470,"rem"
"2020-03-01",28470,28590,"light"
"2020-03-01",28470,28590,"light"
"2020-03-01",83670,83700,"wake"
"2020-03-01",83700,86400,"light"
"2020-03-02",0,1380,"light"
"2020-03-02",1380,3270,"wake"
"2020-03-02",3270,3390,"light"
"2020-03-02",3390,4260,"deep"
"2020-03-02",4260,6690,"light"
"2020-03-02",6690,7050,"rem"
"2020-03-02",7050,7500,"wake"
"2020-03-02",7500,8700,"light"
"2020-03-02",8700,10920,"deep"
"2020-03-02",10920,11730,"light"
"2020-03-02",11730,13590,"rem"
"2020-03-02",13590,14040,"light"
"2020-03-02",14040,14940,"wake"
"2020-03-02",14940,17070,"light"
"2020-03-02",17070,18000,"deep"
"2020-03-02",18000,18030,"light"
"2020-03-02",18030,18240,"wake"
"2020-03-02",18240,19860,"light"
