date,weight,calories,fat,saturated,carbohydrate,fiber,sugar,protein,sodium,cholesterol,potassium
"2020-01-07",261.2,331.0,7.06,4.185,55.39,2.0,9.03,10.09,433.0,16.0,17.0
"2020-01-08",,,,,,,,,,,
"2020-01-09",260.1,1633.0,36.1,11.117,131.06,6.9,15.4,77.14,1842.0,264.0,1758.0
"2020-01-10",257.7,1239.0,29.05,4.806,78.96,13.3,9.53,45.52,1543.0,52.0,1827.0
"2020-01-11",252.6,1688.0,30.14,6.067,119.77,18.24,16.06,33.9,993.0,423.0,904.8
"2020-01-12",252.6,1830.0,57.97,28.577,179.2,16.3,19.34,51.72,3570.0,656.0,1755.0
"2020-01-13",251.5,1744.0,30.42,15.083,229.66,20.8,16.41,43.69,3764.0,2.0,2026.0
"2020-01-14",252.9,1356.0,43.67,16.273,80.09,3.7,15.15,34.58,689.0,93.0,883.0
"2020-01-15",250.7,1711.0,39.07,15.907,171.72,10.8,35.92,38.92,1710.0,84.0,1089.0
"2020-01-16",252.0,2146.0,41.67,16.57,128.72,1.0,83.75,111.32,1556.0,221.0,2618.0
"2020-01-17",251.1,1983.0,68.3,18.509,191.26,21.1,8.25,53.91,1682.0,504.0,2235.0
"2020-01-18",251.3,1791.0,18.72,5.096,114.0,2.4,1.48,57.19,493.0,153.0,1498.0
"2020-01-19",251.8,1461.0,62.92,30.283,84.0,8.2,31.35,62.47,2372.0,743.0,1861.0
"2020-01-20",250.4,1720.0,52.42,18.828,133.94,6.7,4.81,122.03,1203.75,389.25,484.0
"2020-01-21",250.7,1359.0,46.48,17.582,76.94,6.9,5.64,39.89,767.0,122.5,353.0
"2020-01-22",249.6,1704.0,36.78,15.511,124.43,33.7,42.91,49.83,1924.0,54.0,1568.0
"2020-01-23",249.6,1028.0,19.46,7.334,24.26,1.7,2.8,22.25,295.04,644.82,370.0
"2020-01-24",248.2,1496.0,68.87,31.858,73.87,3.43,46.88,46.63,858.1,472.0,592.8
"2020-01-25",246.9,1347.0,64.86,15.919,138.82,34.9,37.58,62.88,2785.0,660.0,700.0
"2020-01-26",246.9,3053.0,107.79,45.598,237.79,47.0,51.25,103.9,3197.0,228.0,1043.0
"2020-01-27",248.5,1635.0,76.68,12.74,78.46,3.0,1.55,45.25,2163.0,453.0,478.0
"2020-01-28",250.2,1732.0,89.34,18.271,112.67,11.7,40.04,63.42,2780.0,299.0,1543.0
"2020-01-29",249.4,1426.0,38.51,11.964,111.24,20.5,20.37,96.38,5304.0,356.0,1042.0
"2020-01-30",250.8,1430.0,35.65,4.932,89.15,11.4,0.0,81.45,1313.9,467.5,0.0
"2020-01-31",250.7,1320.0,39.65,18.128,104.7,5.5,29.51,54.14,1939.32,121.84,1257.0
"2020-02-01",250.0,1507.0,30.76,12.179,128.4,10.7,22.4,38.52,1775.0,92.0,1028.0
"2020-02-02",249.3,1785.0,30.12,10.114,159.05,16.74,11.35,57.54,2438.16,513.0,764.0
